MSSubClass,MSZoning,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,SalePrice
60,FV,NA,7050,2Story,7,5,226000
80,RL,75,13860,SLvl,8,7,345000
60,RL,80,10793,2Story,5,5,152000
20,FV,85,9187,1Story,9,5,370878
20,RL,NA,10530,1Story,6,5,143250
20,RL,60,7200,1Story,5,5,98300
20,RL,85,10452,1Story,6,5,155000
60,RL,70,7700,2Story,6,5,155000
180,RM,21,1936,SFoyer,4,6,84500
60,FV,65,8125,2Story,7,6,205950
70,RL,60,9084,2Story,4,5,108000
60,RL,70,8750,2Story,7,5,191000
50,RM,60,10320,1.5Fin,6,7,135000
20,RL,91,10437,1Story,8,6,350000
160,RM,21,1680,2Story,6,5,88000
20,RL,72,10007,1Story,5,7,145500
70,RL,60,7200,2Story,7,6,149000
50,RL,78,17503,1.5Fin,6,5,97500
20,RL,75,9937,1Story,5,7,167000
60,RL,NA,12384,2Story,7,7,197900
60,RL,52,46589,2Story,8,7,402000
20,RL,120,13560,1Story,6,3,110000
85,RL,90,10012,SFoyer,4,5,137500
20,RL,49,20896,1Story,8,5,423000
60,RL,106,11194,2Story,8,5,230500
60,RL,NA,18450,2Story,6,5,129000
20,RL,65,8125,1Story,6,5,193500
20,RL,NA,14175,1Story,5,6,168000
30,RL,80,11600,1Story,4,5,137500
60,RL,64,8633,2Story,6,5,173500
70,RH,54,6629,2Story,6,6,103600
20,RL,NA,11250,1Story,6,6,165000
20,RL,110,14442,1Story,6,7,257500
20,RL,80,9200,1Story,6,6,140000
160,RL,24,2289,2Story,6,6,148500
70,RM,60,9600,2Story,4,2,87000
30,RL,52,9022,1Story,5,8,109500
20,RL,80,11844,1Story,8,5,372500
20,RL,NA,9945,1Story,5,5,128500
120,RL,50,8012,1Story,6,5,143000
50,RH,55,4500,1.5Fin,5,5,159434
120,RL,NA,2887,1Story,6,5,173000
20,RL,90,11248,1Story,9,5,285000
60,RL,58,16770,2Story,7,5,221000
160,RL,NA,5062,2Story,7,5,207500
60,FV,84,10207,2Story,7,6,227875
160,FV,NA,5105,2Story,7,5,148800
20,RL,60,8089,1Story,8,6,392000
120,RL,61,7577,1Story,6,5,194700
120,RM,NA,4426,1Story,6,5,141000
60,RL,104,21535,2Story,10,6,755000
60,RL,42,26178,2Story,7,5,335000
30,RL,60,5400,1Story,5,6,108480
50,RM,51,6120,1.5Fin,5,6,141500
20,RL,54,13811,1Story,6,6,176000
30,RM,50,6000,1Story,5,7,89000
20,RL,57,6420,1Story,5,7,123500
20,RL,65,8450,1Story,5,8,138500
120,FV,59,4282,1Story,7,5,196000
20,RL,85,14331,1Story,8,5,312500
20,RL,80,9600,1Story,7,5,140000
60,RL,82,12438,2Story,8,5,361919
190,RM,76,7630,2Story,5,9,140000
20,RL,70,8400,1Story,7,5,213000
190,RM,70,5600,2Story,4,5,55000
20,RL,NA,115149,1Story,7,5,302000
120,RL,48,6240,1Story,8,5,254000
60,RL,65,9018,2Story,7,5,179540
20,RL,NA,7162,1Story,5,7,109900
30,RL,56,4130,1Story,3,6,52000
50,C (all),66,8712,1.5Fin,4,7,102776
120,RL,40,4671,1Story,8,5,189000
190,RL,60,9873,1Story,4,5,129000
60,RL,NA,13517,2Story,6,8,130500
20,RL,78,10140,1Story,6,5,165000
70,RM,60,10800,2Story,7,8,159500
20,RL,80,10000,1Story,5,6,157000
60,RL,96,10542,2Story,7,5,341000
20,RL,69,9920,1Story,5,6,128500
120,RL,NA,6563,1Story,8,5,275000
120,RM,NA,4426,1Story,6,5,143000
20,RL,70,8120,1Story,4,7,124500
50,RL,60,8172,1.5Fin,4,6,135000
20,RL,86,13286,1Story,9,5,320000
20,RL,60,6960,1Story,4,6,120500
20,RL,NA,21695,1Story,6,9,222000
20,RL,64,7314,1Story,7,5,194500
90,RL,85,11475,1Story,5,5,110000
30,RM,52,6240,1.5Fin,4,5,103000
120,RL,39,5389,1Story,8,5,236500
80,RL,73,9590,SLvl,7,5,187500
60,RL,75,11404,2Story,7,5,222500
20,RL,80,10000,1Story,5,6,131400
20,RL,NA,8978,1Story,5,5,108000
75,RM,60,10800,2.5Unf,7,7,163000
90,RL,60,8544,1Story,3,4,93500
60,RL,72,10463,2Story,8,5,239900
90,RL,60,10800,1Story,5,5,179000
60,RL,65,9313,2Story,7,5,190000
70,RM,60,9600,2Story,5,7,132000
20,RL,65,6768,1Story,6,8,142000
20,RL,65,8450,1Story,7,5,179000
80,RL,70,12886,SLvl,5,6,175000
120,RL,41,5395,1Story,8,5,180000
60,RL,NA,8963,2Story,8,9,299800
60,RL,NA,8795,2Story,7,5,236000
70,RM,65,11700,2Story,7,7,265979
20,RL,59,10593,1Story,7,5,260400
50,RL,50,8405,1.5Fin,4,3,98000
50,RM,55,8800,1.5Fin,4,7,96500
60,RL,NA,7750,2Story,7,5,162000
20,RL,79,9236,1Story,6,5,217000
60,RL,80,10240,2Story,8,5,275500
20,RL,61,7930,1Story,6,8,156000
160,FV,34,3230,2Story,6,5,172500
60,RL,68,10769,2Story,8,5,212000
60,RL,NA,11616,2Story,6,5,158900
160,FV,24,2280,2Story,7,5,179400
60,RL,65,12257,2Story,8,5,290000
20,RL,70,9100,1Story,6,6,127500
30,RM,60,6911,1Story,5,5,100000
60,FV,72,8640,2Story,7,5,215200
60,RL,82,9430,2Story,8,5,337000
120,RL,30,9549,1Story,8,5,270000
20,RL,75,14587,1Story,9,5,264132
60,RL,80,10421,2Story,7,5,196500
50,RL,75,12508,1.5Fin,6,7,160000
20,RL,70,9100,1Story,7,5,216837
60,RL,47,53504,2Story,8,5,538000
85,RL,NA,7252,SFoyer,5,5,134900
20,RL,67,8877,1Story,4,5,102000
80,RL,94,7819,SLvl,6,5,107000
20,RL,70,10150,1Story,5,5,114500
20,RL,110,14226,1Story,8,5,395000
120,RM,32,4500,1Story,6,5,162000
20,RL,86,11210,1Story,7,5,221500
20,RL,100,13350,1Story,5,5,142500
90,RH,60,8400,1Story,5,5,144000
90,RL,78,10530,SFoyer,6,5,135000
20,RL,63,7875,1Story,7,5,176000
60,RL,65,7153,2Story,6,5,175900
20,RL,67,16285,1Story,7,5,187100
85,RL,NA,9101,SFoyer,5,6,165500
75,RM,35,6300,2.5Unf,6,6,128000
20,RL,NA,9790,1Story,6,5,161500
50,RM,60,10800,1.5Fin,5,6,139000
60,RL,76,10142,2Story,7,5,233000
20,RM,50,6000,1Story,4,7,107900
60,RL,NA,12205,2Story,6,8,187500
120,RL,43,3182,1Story,7,5,160200
80,RL,NA,11333,SLvl,6,5,146800
60,RL,92,9920,2Story,7,5,269790
20,RL,76,9158,1Story,8,5,225000
60,RL,NA,10832,2Story,7,5,194500
60,RL,70,8400,2Story,6,6,171000
20,RL,71,8197,1Story,6,5,143500
20,RL,57,7677,1Story,5,5,110000
60,RL,104,13518,2Story,9,5,485000
50,RL,60,7200,1.5Fin,5,7,175000
60,RL,79,12798,2Story,6,5,200000
30,RM,40,4800,1Story,4,7,109900
60,RL,63,8199,2Story,7,5,189000
60,RL,107,13891,2Story,9,5,582933
20,RL,75,9000,1Story,5,5,118000
20,RL,91,12274,1Story,7,5,227680
80,RL,75,9750,SLvl,5,5,135500
70,RL,144,21384,2Story,5,6,223500
80,RL,85,13400,SLvl,5,5,159950
75,RM,90,8100,2.5Unf,5,5,106000
20,RL,78,10140,1Story,6,6,181000
120,RM,NA,4438,1Story,6,5,144500
20,C (all),66,8712,1Story,5,5,55993
20,RL,75,9750,1Story,6,6,157900
50,RL,45,8248,1.5Fin,5,7,116000
20,RL,48,12137,1Story,7,5,224900
20,RL,NA,11425,1Story,5,6,137000
20,RL,NA,13265,1Story,8,5,271000
80,RL,80,8816,SLvl,6,7,155000
120,RL,44,6371,1Story,7,5,224000
60,RL,72,7226,2Story,7,5,183000
20,RM,60,6000,1Story,4,4,93000
60,RL,NA,12394,2Story,7,5,225000
50,RL,60,9900,1.5Fin,6,7,139500
20,FV,81,11216,1Story,8,5,232600
20,RL,114,14803,1Story,10,5,385000
45,RM,50,6130,1.5Unf,5,6,109500
20,RL,65,8529,1Story,7,5,189000
60,RL,NA,28698,2Story,5,5,185000
160,FV,24,2544,2Story,7,5,147400
20,RL,80,11900,1Story,6,5,166000
160,FV,30,3180,2Story,7,5,151000
60,RL,44,9548,2Story,7,6,237000
20,RL,100,10004,1Story,6,6,167000
20,RL,75,7875,1Story,5,6,139950
20,RL,60,9600,1Story,4,7,128000
30,RM,90,8100,1Story,5,6,153500
160,RM,21,1680,2Story,6,5,100000
20,RL,75,9525,1Story,5,6,144000
50,RL,70,11767,1.5Fin,5,6,130500
70,RH,NA,12155,2Story,6,8,140000
70,RM,60,10440,2Story,5,8,157500
80,RL,82,9020,SLvl,6,7,174900
90,RL,80,8000,1Story,5,4,141000
50,RM,100,12665,1.5Fin,5,8,153900
85,RL,NA,16647,SFoyer,5,5,171000
60,RL,75,9317,2Story,7,5,213000
20,RL,36,15523,1Story,5,6,133500
50,RL,75,45600,1.5Fin,6,8,240000
80,RL,80,9600,SLvl,6,7,187000
120,RM,36,4435,1Story,6,5,131500
120,RL,NA,3196,1Story,8,5,215000
75,RL,53,7128,2.5Unf,7,5,164000
80,RL,NA,12095,SLvl,6,6,158000
20,RL,102,17920,1Story,5,4,170000
20,RL,NA,6897,1Story,5,8,127000
80,RL,NA,10970,SLvl,6,6,147000
60,RL,65,8125,2Story,6,5,174000
20,RL,80,10400,1Story,7,5,152000
60,RL,NA,11029,2Story,6,7,250000
50,RL,55,7642,1.5Fin,7,8,189950
190,RL,75,11625,1Story,5,4,131500
20,RL,81,9672,1Story,6,5,152000
20,RL,70,7931,1Story,5,5,132500
20,FV,72,8640,1Story,7,5,250580
20,RL,NA,8750,1Story,5,6,148500
20,RL,67,10656,1Story,8,5,248900
20,RL,85,6970,1Story,4,5,129000
60,RL,NA,14762,2Story,5,6,169000
60,RL,80,9938,2Story,7,5,236000
20,RL,60,6600,1Story,5,5,109500
60,RL,70,8750,2Story,6,5,200500
20,RL,74,8892,1Story,5,7,116000
40,RL,60,12144,1Story,5,7,133000
50,RM,52,5720,1.5Fin,5,6,66500
60,FV,75,9000,2Story,8,5,303477
20,RL,94,25286,1Story,4,5,132250
60,RL,74,8834,2Story,9,5,350000
85,RL,88,11782,SFoyer,5,7,148000
20,RL,NA,7000,1Story,5,8,136500
20,RL,60,7024,1Story,5,5,157000
50,RL,44,13758,1.5Fin,7,5,187500
60,RL,NA,9636,2Story,6,5,178000
75,RL,60,6204,2.5Fin,4,5,118500
20,RL,65,7150,1Story,5,5,100000
120,FV,50,5119,1Story,9,5,328900
90,RL,70,8393,1Story,5,5,145000
50,RL,59,16466,1.5Fin,5,7,135500
20,RL,95,15865,1Story,8,6,268000
20,RL,128,12160,1Story,6,4,149500
50,RL,60,8064,1.5Fin,5,7,122900
60,RL,70,11184,2Story,6,5,172500
20,RL,70,8414,1Story,6,8,154500
20,RL,NA,13284,1Story,5,5,165000
90,RL,64,7018,1Story,5,5,118858
60,RL,71,7056,2Story,6,5,140000
30,RM,50,8765,1Story,4,6,106500
90,RL,64,7018,2Story,5,5,142953
20,RL,100,12919,1Story,9,5,611657
20,RL,65,6993,1Story,5,7,135000
20,RL,NA,7340,1Story,4,6,110000
20,RL,64,8712,1Story,5,7,153000
60,RL,63,7875,2Story,7,5,180000
20,RL,50,14859,1Story,7,5,240000
20,RL,NA,6173,1Story,5,6,125500
20,RL,80,9920,1Story,5,5,128000
20,RL,116,13501,1Story,8,5,255000
50,RL,86,11500,1.5Fin,7,7,250000
20,RL,NA,8885,1Story,5,5,131000
60,RL,149,12589,2Story,6,5,174000
90,RL,80,11600,2Story,5,5,154300
20,RL,NA,9286,1Story,5,7,143500
30,RM,51,6120,1Story,5,7,88000
90,RH,82,6270,2Story,5,6,145000
160,FV,30,3000,2Story,6,5,173733
160,RM,21,2001,2Story,4,5,75000
20,C (all),50,9000,1Story,2,3,35311
20,RL,NA,17140,1Story,4,6,135000
60,RL,103,13125,2Story,7,5,238000
20,RL,87,11029,1Story,6,8,176500
60,RL,70,8462,2Story,6,5,201000
90,RL,67,8777,1.5Fin,5,7,145900
20,RL,65,10237,1Story,6,5,169990
120,RL,50,8012,1Story,6,5,193000
20,RL,79,10240,1Story,6,6,207500
20,RL,NA,15611,1Story,5,6,175000
60,RL,93,11999,2Story,8,5,285000
60,RL,NA,9900,2Story,7,5,176000
20,RL,NA,11838,1Story,8,5,236500
60,RL,NA,13006,2Story,7,5,222000
20,RL,73,8925,1Story,8,5,201000
20,RL,70,9100,1Story,5,6,117500
20,RL,84,11670,1Story,9,5,320000
20,RL,63,8487,1Story,7,5,190000
20,RL,313,27650,1Story,7,7,242000
30,RL,52,5825,1Story,4,5,79900
20,RL,67,10083,1Story,7,5,184900
60,RL,75,9675,2Story,7,5,253000
60,RL,73,8760,2Story,7,5,239799
70,RL,NA,24090,2Story,7,7,244400
90,RL,55,12640,1Story,6,5,150900
60,RL,NA,8755,2Story,7,5,214000
90,RL,42,7711,1Story,4,3,150000
90,RL,100,25000,1Story,5,4,143000
20,RL,NA,14375,SLvl,6,6,137500
50,RM,98,8820,1.5Fin,5,6,124900
80,RL,70,8163,SLvl,5,6,143000
20,RL,85,14536,1Story,8,5,270000
60,RL,65,14006,2Story,7,5,192500
20,RL,78,9360,1Story,6,7,197500
20,RL,60,7200,1Story,5,8,129000
20,RH,60,7800,1Story,5,5,119900
85,RL,60,7200,SFoyer,5,8,133900
60,RL,NA,11075,2Story,5,4,172000
90,RL,35,9400,SFoyer,6,5,127500
90,RH,82,7136,2Story,6,6,145000
160,RM,24,1300,2Story,6,6,124000
20,RL,70,7420,1Story,5,5,132000
20,RL,65,8450,1Story,7,5,185000
160,FV,24,2572,2Story,7,5,155000
20,RL,50,7207,1Story,5,7,116500
60,RL,NA,12227,2Story,6,7,272000
160,RL,24,2308,2Story,6,6,155000
20,RL,122,11923,1Story,9,5,239000
60,RL,80,11316,2Story,7,5,214900
60,RL,65,10237,2Story,6,5,178900
50,RL,130,9600,1.5Fin,5,7,160000
20,RL,NA,7390,1Story,5,7,135000
50,RM,50,5925,1.5Fin,3,6,37900
190,RL,75,10382,SLvl,6,5,140000
50,RL,60,10800,1.5Fin,4,4,135000
160,RL,36,2268,2Story,7,5,173000
120,RL,55,7892,1Story,6,5,99500
20,FV,95,11639,1Story,7,5,182000
70,RL,60,11414,2Story,7,8,167500
160,FV,NA,2651,2Story,7,5,165000
30,RL,51,5900,1Story,4,7,85500
120,FV,35,4274,1Story,7,5,199900
20,RL,68,9450,1Story,4,5,110000
20,RL,80,8816,1Story,5,6,139000
85,RL,NA,12122,SFoyer,7,9,178400
60,RL,98,12203,2Story,8,5,336000
20,RL,43,3182,1Story,7,5,159895
60,RL,NA,11250,2Story,8,5,255900
90,RL,75,10125,1.5Fin,5,5,126000
190,RL,68,10880,1Story,5,5,125000
50,RM,59,5310,1.5Fin,6,8,117000
20,RL,83,10159,1Story,9,5,395192
60,RL,NA,12046,2Story,6,6,195000
60,FV,65,8125,2Story,7,5,197000
60,RL,82,9452,2Story,8,5,348000
70,RM,121,17671,2Story,8,9,168000
60,RL,80,9760,2Story,6,8,187000
60,RL,68,8846,2Story,6,5,173900
20,RL,96,12456,1Story,10,5,337500
50,RL,51,4712,1.5Fin,4,7,121600
20,RL,NA,10659,1Story,5,6,136500
20,RL,NA,11717,1Story,6,6,185000
30,RM,60,9786,1Story,3,4,91000
20,RL,64,6762,1Story,7,5,206000
20,RL,74,10206,1Story,3,3,82000
30,RL,60,5400,1Story,5,6,86000
20,RL,75,11957,1Story,8,5,232000
90,RL,NA,11500,1Story,5,6,136905
120,RL,43,3182,1Story,7,5,181000
80,RL,65,8385,SLvl,5,8,149900
20,RL,NA,12155,1Story,6,3,163500
160,RM,21,2217,2Story,4,4,88000
20,RL,43,12118,1Story,7,5,240000
50,RL,60,6000,1.5Fin,5,5,102000
50,RL,115,21286,1.5Fin,5,5,135000
90,RL,75,9825,1Story,5,5,100000
70,RL,55,10592,2Story,6,7,165000
30,RM,60,7200,1Story,5,4,85000
20,RL,60,11664,1Story,6,5,119200
60,RL,70,8400,2Story,8,6,227000
20,RL,73,11883,1Story,7,5,203000
120,RL,NA,5814,1Story,8,5,187500
80,RL,NA,10784,SLvl,7,5,160000
120,RL,43,3013,1Story,7,5,213490
20,RL,60,7024,1Story,4,5,176000
20,RL,64,7406,1Story,7,5,194000
50,RM,52,9439,1.5Fin,5,5,87000
120,RL,43,3182,1Story,7,5,191000
20,RL,NA,15498,1Story,8,6,287000
20,RL,70,7700,1Story,5,5,112500
20,RL,73,9300,1Story,5,5,167500
20,RL,71,9520,1Story,8,5,293077
50,RL,79,9492,1.5Fin,5,5,105000
160,RM,21,1680,2Story,6,7,118000
190,RH,NA,7082,2Story,5,8,160000
75,RL,102,15863,2.5Fin,7,3,197000
60,RL,NA,14541,2Story,8,7,310000
20,RL,NA,8125,1Story,7,5,230000
30,RL,50,6305,1Story,5,7,119750
20,RL,NA,11500,1Story,4,3,84000
20,RL,89,12898,1Story,9,5,315500
60,RL,NA,9240,2Story,8,5,287000
160,RM,21,1533,2Story,4,6,97000
180,RM,21,1477,SFoyer,4,4,80000
20,RL,88,13125,1Story,5,4,155000
60,RL,NA,9130,2Story,6,8,173000
120,RL,34,5381,1Story,6,5,196000
60,RL,86,11839,2Story,7,5,262280
20,RL,80,9600,1Story,8,5,278000
20,RL,NA,13680,1Story,3,5,139600
60,RL,85,16056,2Story,9,5,556581
20,RL,57,9245,1Story,5,5,145000
20,RL,100,21750,1Story,5,4,115000
20,RL,60,11100,1Story,4,7,84900
20,RL,73,8993,1Story,7,5,176485
20,RL,103,11175,1Story,7,5,200141
60,RL,100,9500,2Story,6,6,165000
20,RL,68,8562,1Story,5,6,144500
60,RL,90,11367,2Story,8,5,255000
20,RL,104,11361,1Story,6,5,180000
120,RL,43,7052,1Story,7,5,185850
60,RL,NA,29959,2Story,7,6,248000
60,RL,96,11308,2Story,9,5,335000
50,RL,NA,11275,1.5Fin,6,7,220000
120,RL,41,4920,1Story,8,5,213500
30,C (all),120,18000,1Story,3,4,81000
190,RM,85,13600,2Story,5,5,90000
30,RM,50,6000,1Story,6,6,110500
20,RL,NA,11000,1Story,5,6,154000
60,RL,80,14000,2Story,7,5,328000
60,RL,59,7837,2Story,6,7,178000
60,RL,80,9760,2Story,6,6,167900
160,RM,42,3964,2Story,6,4,151400
45,RL,60,9600,1.5Unf,5,7,135000
20,RL,72,10152,1Story,5,5,135000
60,RL,78,11700,2Story,6,6,154000
50,RL,50,7585,1.5Fin,5,3,91500
60,RL,75,7950,2Story,6,6,159500
20,RL,74,8556,1Story,7,5,194000
70,RL,75,13125,2Story,7,6,219500
50,RL,60,10800,1.5Fin,5,8,170000
20,RL,NA,15870,1Story,5,5,138800
120,RM,37,4435,1Story,6,5,155900
20,RL,65,8775,1Story,5,5,126000
20,RL,80,11040,1Story,6,7,145000
20,RL,75,7500,1Story,5,5,133000
20,RL,70,8749,1Story,7,5,192000
20,RL,80,8800,1Story,6,6,160000
60,RL,NA,13031,2Story,6,5,187500
85,RL,73,9069,SFoyer,6,6,147000
160,RM,NA,1974,2Story,4,5,83500
60,FV,85,10574,2Story,8,5,252000
160,RM,24,2522,2Story,7,5,137500
120,FV,37,3316,1Story,8,5,197000
90,RL,60,8544,1Story,3,4,92900
160,FV,24,2160,2Story,7,5,160000
50,RL,60,8400,1.5Fin,6,5,136500
20,RL,71,9230,1Story,5,8,146000
20,RL,74,5868,1Story,5,7,129000
20,RL,78,9317,1Story,6,5,176432
70,RM,60,6882,2Story,6,7,127000
120,RL,NA,3696,1Story,8,5,170000
50,RM,50,6000,1.5Fin,4,6,128000
20,RL,82,11880,1Story,7,5,157000
30,RL,60,8400,1Story,2,5,60000
20,RL,61,9758,1Story,5,5,119500
20,RL,70,7000,1Story,5,7,135000
20,RL,79,8910,1Story,6,6,159500
160,RM,24,2016,2Story,5,5,106000
60,RL,98,12256,2Story,8,5,325000
20,RL,114,10357,1Story,7,5,179900
60,RL,168,23257,2Story,7,5,274725
60,RL,NA,8063,2Story,6,5,181000
20,RL,107,11362,1Story,8,5,280000
60,RL,NA,8000,2Story,6,5,188000
60,RL,80,10480,2Story,7,6,205000
20,RL,73,7100,1Story,5,7,129900
20,RL,66,8923,1Story,5,7,134500
20,RL,90,5400,1Story,5,7,117000
20,RL,93,12085,1Story,8,5,318000
80,RL,NA,7750,SLvl,8,5,184100
20,RL,57,9764,1Story,5,7,130000
80,RL,85,13825,SLvl,5,6,140000
20,RL,70,7560,1Story,5,5,133700
30,RM,59,8263,1Story,6,5,118400
20,RL,84,10084,1Story,7,5,212900
20,RL,NA,8926,1Story,4,3,112000
20,RL,50,9405,1Story,5,9,118000
80,RL,NA,9125,SLvl,7,5,163900
20,RL,60,10434,1Story,4,5,115000
120,RL,53,3684,1Story,7,5,174000
20,RL,182,14572,1Story,7,5,259000
60,RL,59,11796,2Story,7,5,215000
90,RM,60,7200,SFoyer,5,5,140000
50,RL,65,7804,1.5Fin,4,3,135000
20,RL,63,10712,1Story,5,5,93500
70,RM,90,9900,2Story,6,4,117500
60,RL,80,9828,2Story,8,5,239500
60,RL,57,8773,2Story,6,5,169000
30,RM,60,6180,1Story,6,5,102000
50,RL,80,9600,1.5Fin,6,5,119000
50,RL,54,6342,1.5Fin,5,8,94000
20,RL,NA,9819,1Story,6,5,196000
30,RL,98,8731,1Story,5,5,144000
20,RL,60,7350,1Story,5,7,139000
60,RL,NA,10304,2Story,5,7,197500
60,RL,77,9965,2Story,8,5,424870
20,RL,NA,9000,1Story,5,3,80000
190,RL,60,12180,1.5Fin,4,4,80000
50,RM,52,6240,1.5Fin,5,6,149000
20,RL,NA,11200,1Story,6,5,180000
70,RL,75,12000,2Story,7,7,174500
50,RM,NA,5700,1.5Fin,7,7,116900
70,RM,50,9000,2Story,7,9,143000
20,RL,57,8280,1Story,6,5,124000
20,RL,134,17755,1Story,5,4,149900
20,RL,90,14115,1Story,6,7,230000
30,RM,NA,5890,1Story,6,8,120500
60,RL,NA,13700,2Story,7,6,201800
20,RL,90,10768,1Story,5,8,218000
80,RL,85,9350,SLvl,5,8,179900
120,RL,34,5001,1Story,7,5,230000
20,RL,92,11932,1Story,8,5,235128
60,RL,76,9120,2Story,6,6,185000
160,RL,24,2280,2Story,6,5,146000
20,RL,NA,14778,1Story,6,7,224000
20,RL,109,8724,1Story,5,5,129000
90,RL,60,12900,SFoyer,4,4,108959
80,RL,NA,16157,SLvl,5,7,194000
20,RL,79,9541,1Story,7,5,233170
20,RL,64,10475,1Story,8,5,245350
60,RL,58,10852,2Story,6,5,173000
70,RL,120,13728,2Story,6,7,235000
60,RL,118,35760,2Story,10,5,625000
80,RL,76,9880,SLvl,6,6,171000
20,RL,76,9120,1Story,6,6,163000
160,FV,35,4017,2Story,7,5,171900
50,RL,138,18030,1.5Fin,5,6,200500
70,RL,80,16560,2Story,6,8,239000
50,RL,85,10678,1.5Fin,8,5,285000
20,RL,37,6951,1Story,5,5,119500
50,RM,NA,3950,1.5Fin,6,8,115000
50,RL,54,7681,1.5Fin,5,6,154900
20,RL,77,8335,1Story,5,5,93000
60,RL,NA,11170,2Story,7,5,250000
120,RM,64,5587,1Story,8,5,392500
60,RL,160,15623,2Story,10,5,745000
30,RL,60,10800,1Story,5,6,120000
20,RL,50,35133,1Story,5,4,186700
50,RL,60,9738,1.5Fin,5,7,104900
190,RL,107,10615,2Story,3,5,95000
20,RL,89,12461,1Story,8,5,262000
60,RL,68,8935,2Story,7,5,195000
60,RL,60,7500,2Story,7,5,189000
190,RL,NA,32463,1Story,4,4,168000
160,FV,24,2645,2Story,8,5,174000
50,RM,60,9600,1.5Fin,5,8,125000
120,RM,NA,4500,1Story,6,5,165000
60,RL,80,9364,2Story,6,7,158000
60,RL,51,8029,2Story,6,5,176000
60,RL,58,14054,2Story,7,5,219210
75,RM,65,8850,2.5Unf,7,6,144000
20,RL,70,9100,1Story,7,5,178000
20,RL,75,11235,1Story,4,5,148000
20,RL,71,9353,1Story,4,5,116050
60,RL,80,10400,2Story,7,5,197900
50,RM,50,6000,1.5Fin,5,8,117000
20,RL,75,9750,1Story,7,5,213000
20,RL,78,10140,1Story,5,6,153500
20,RL,90,14684,1Story,7,7,271900
20,RH,NA,8900,1Story,4,4,107000
20,RL,70,9135,1Story,6,5,200000
20,RL,70,7763,1Story,5,7,140000
20,RL,85,10182,1Story,8,5,290000
60,RL,70,11218,2Story,6,5,189000
50,RL,152,12134,1.5Fin,8,7,164000
30,RL,50,9340,1Story,4,6,113000
80,RL,NA,10246,SLvl,4,9,145000
85,RL,69,10205,SFoyer,5,5,134500
20,RL,99,7094,1Story,5,5,125000
90,RM,68,8930,1.5Fin,6,5,112000
20,FV,72,8640,1Story,8,5,229456
50,RM,52,6240,1.5Fin,4,5,80500
160,RM,21,1680,2Story,6,5,91500
20,RL,66,7800,1Story,5,5,115000
20,RL,55,8250,1Story,5,5,134000
50,RL,78,10496,1.5Fin,6,6,143000
20,RL,89,10680,1Story,5,3,137900
60,RL,60,15384,2Story,7,5,184000
80,RL,65,10482,SLvl,6,8,145000
60,RL,86,14598,2Story,6,5,214000
20,RL,72,8872,1Story,5,8,147000
120,RL,65,8769,1Story,9,5,367294
80,RL,70,7910,SLvl,5,5,127000
90,RL,NA,18890,1.5Fin,5,5,190000
90,RL,70,7728,SLvl,5,6,132500
90,RL,70,9842,1Story,4,5,101800
20,RL,NA,12160,1Story,5,5,142000
70,RH,55,8525,2Story,5,6,130000
70,RL,96,13132,2Story,5,5,138887
160,RL,36,2628,2Story,7,5,175500
60,RL,41,12393,2Story,7,5,195000
20,RL,63,13072,1Story,6,5,142500
20,RL,64,9037,1Story,8,5,265900
60,RL,65,8158,2Story,7,5,224900
20,RL,83,9849,1Story,7,6,248328
85,RL,85,10625,SFoyer,7,6,170000
20,RL,107,13891,1Story,10,5,465000
70,RL,NA,11435,2Story,8,7,230000
80,RL,78,12090,SLvl,6,7,178000
60,FV,65,8125,2Story,7,5,186500
80,RL,NA,12328,SLvl,6,5,169900
75,RM,60,9600,2.5Unf,6,5,129500
20,RL,60,7200,1Story,5,7,119000
20,RL,93,11160,1Story,7,5,244000
120,RL,NA,3136,1Story,7,5,171750
20,RL,62,9858,1Story,5,6,130000
60,RL,NA,17542,2Story,7,7,294000
60,RL,60,6931,2Story,7,5,165400
50,RM,52,6240,1.5Fin,6,6,127500
20,RL,91,14303,1Story,8,5,301500
30,RL,56,4060,1Story,5,8,99900
80,RL,59,9587,SLvl,7,5,190000
20,RL,65,9750,1Story,6,8,151000
60,RL,NA,24682,2Story,6,5,181000
20,RL,80,9600,1Story,5,6,128900
50,RL,NA,11250,1.5Fin,4,5,161500
70,RL,60,13515,2Story,6,6,180500
120,RH,34,4060,1Story,6,5,181000
160,FV,35,3735,2Story,7,5,183900
190,RM,60,10120,2.5Unf,7,4,122000
20,RL,89,13214,1Story,9,5,378500
50,RL,NA,14100,1.5Fin,8,9,381000
50,RL,78,11344,1.5Fin,5,5,144000
40,RL,NA,23595,1Story,7,6,260000
20,RL,NA,9156,1Story,6,7,185750
20,RL,NA,13526,1Story,5,6,137000
80,RL,124,11512,SLvl,6,7,177000
50,RL,53,5362,1.5Fin,5,6,139000
90,RL,95,11345,2Story,5,5,137000
60,RL,NA,12936,2Story,6,6,162000
80,RL,NA,17871,SLvl,6,5,197900
60,RL,75,9473,2Story,8,5,237000
50,C (all),60,7500,1.5Fin,4,4,68400
20,RL,67,9808,1Story,7,5,227000
20,RL,50,8049,1Story,7,5,180000
20,RL,61,8800,1Story,5,7,150500
90,RL,94,9400,2Story,6,5,139000
50,RL,50,9638,1.5Fin,6,7,169000
